name_similarity,dob_match,country_risk,pep_flag,prior_name_fp_rate,list_type,alert_type,label_true_match
0.731,1,1,0,0.795,UN,name,1
0.652,0,1,0,0.715,OFAC,dob,1
0.338,0,2,0,1.0,OFAC,name,0
0.465,0,2,0,0.519,OFAC,name,0
0.283,0,3,0,0.813,OFAC,name,0
0.813,0,2,0,0.694,UN,name,1
0.92,1,2,0,0.7,OFAC,name,0
0.912,0,1,0,0.578,EU,name,1
0.229,0,2,0,0.853,UN,name,1
0.591,0,1,0,0.798,UN,name,0
0.899,0,1,0,0.825,OFAC,name,0
0.367,1,1,0,0.725,OFAC,name,0
0.676,0,1,0,0.651,UN,dob,0
0.252,0,1,0,0.69,OFAC,name,0
0.598,0,3,0,0.765,OFAC,name,0
0.437,0,1,0,0.399,OFAC,name,1
0.474,0,1,1,0.831,OFAC,name,0
0.636,0,1,0,1.0,UN,name,0
0.502,0,1,0,0.772,OFAC,name,0
0.702,0,1,0,0.658,OFAC,dob,1
0.585,0,1,0,0.676,OFAC,address,1
0.118,0,1,1,0.806,OFAC,dob,1
0.556,0,1,0,0.661,EU,name,0
0.686,0,2,0,0.83,EU,name,0
0.688,1,2,0,0.674,OFAC,name,0
0.685,1,1,0,0.957,OFAC,dob,0
0.647,0,1,0,0.953,OFAC,address,1
0.363,0,1,0,0.65,UN,name,0
0.488,0,2,0,0.688,OFAC,name,1
0.39,0,1,0,0.697,UN,name,0
0.674,1,1,0,0.699,OFAC,dob,1
0.554,0,2,0,0.558,UN,dob,1
0.723,0,1,0,0.537,OFAC,name,1
0.406,1,1,0,0.887,UN,address,1
0.54,1,1,0,0.863,OFAC,name,0
0.415,0,3,0,0.861,UN,address,1
0.88,0,2,0,0.69,OFAC,address,1
0.886,0,2,0,0.984,OFAC,dob,0
0.125,0,1,0,0.697,UN,name,0
0.283,1,1,0,0.829,OFAC,name,1
0.24,1,3,0,0.492,UN,name,1
0.082,1,3,0,0.666,UN,name,1
0.766,0,1,0,0.677,OFAC,dob,1
0.729,1,2,0,0.69,OFAC,name,1
0.696,0,1,0,0.501,OFAC,name,1
0.6,0,1,0,0.806,OFAC,dob,0
0.588,0,2,0,0.854,OFAC,name,0
0.868,0,1,0,0.588,UN,name,1
0.461,1,3,0,0.528,OFAC,name,1
0.233,0,1,0,0.585,OFAC,name,1
0.659,0,1,0,0.774,OFAC,name,1
0.546,0,3,0,0.611,OFAC,dob,0
0.168,0,3,0,0.68,OFAC,name,0
0.367,0,1,0,0.539,UN,address,1
0.603,0,1,0,0.997,UN,name,0
0.904,1,2,0,0.711,OFAC,name,1
0.416,0,1,0,0.872,EU,name,0
0.313,0,3,1,0.774,OFAC,name,1
0.751,0,3,1,0.694,EU,name,1
0.354,1,1,0,0.686,UN,name,1
0.103,0,1,0,0.591,UN,name,0
0.651,0,1,0,0.632,OFAC,name,0
0.562,0,3,0,0.549,OFAC,name,1
0.566,0,1,0,0.532,OFAC,name,0
0.732,0,1,0,1.0,UN,dob,1
0.62,0,1,0,0.742,OFAC,address,0
0.582,0,1,0,0.92,UN,name,1
0.451,0,1,0,0.581,OFAC,name,1
0.305,0,1,0,0.512,UN,address,0
0.112,0,3,0,0.553,OFAC,name,0
0.636,0,3,1,0.637,OFAC,address,1
0.545,0,2,0,0.705,OFAC,name,0
0.311,0,1,0,0.677,OFAC,dob,1
0.148,0,1,0,0.584,OFAC,name,0
0.463,0,2,0,0.713,UN,address,1
0.682,1,1,0,0.726,OFAC,name,1
0.648,1,3,0,0.805,OFAC,name,1
0.265,0,2,0,0.921,UN,name,0
0.388,0,1,0,0.645,OFAC,name,1
0.274,0,3,0,0.882,EU,dob,1
0.158,1,3,1,0.71,EU,name,1
0.895,0,1,0,0.471,OFAC,address,0
0.357,0,1,1,0.967,OFAC,name,1
0.764,1,1,0,1.0,OFAC,dob,0
0.362,0,1,0,0.793,UN,name,0
0.641,1,1,0,0.713,OFAC,address,0
0.686,0,1,0,0.659,UN,address,0
0.547,0,3,0,0.63,UN,name,1
0.643,1,1,0,0.882,OFAC,dob,1
0.654,0,1,0,0.697,UN,dob,0
0.705,0,2,0,0.951,UN,name,1
0.208,0,1,0,0.705,OFAC,name,0
0.256,1,2,0,0.638,EU,name,1
0.958,0,1,0,0.61,UN,dob,0
0.098,0,1,0,0.588,OFAC,name,1
0.283,0,1,0,0.777,OFAC,name,0
0.59,0,2,0,0.506,OFAC,name,1
0.611,0,1,0,0.577,OFAC,name,0
0.757,0,2,0,0.899,EU,dob,0
0.659,0,1,0,0.557,OFAC,address,0
0.794,1,1,0,0.829,UN,name,1
0.293,0,1,0,0.391,OFAC,name,1
0.056,0,3,0,0.918,OFAC,dob,0
0.775,1,3,0,0.509,EU,name,0
0.394,0,1,1,0.569,EU,name,1
0.263,1,1,0,0.802,OFAC,name,1
0.811,0,1,0,0.741,OFAC,name,1
0.313,0,1,0,0.834,OFAC,name,0
0.331,0,1,0,0.508,OFAC,dob,0
0.556,0,3,0,0.657,OFAC,name,1
0.682,0,3,0,0.607,OFAC,dob,0
0.501,0,1,1,0.533,EU,name,0
0.78,1,1,0,0.789,OFAC,name,1
0.229,0,2,1,0.841,EU,dob,0
0.727,0,2,0,0.649,UN,name,0
0.815,0,1,0,0.928,OFAC,name,0
0.566,1,1,0,0.582,EU,name,1
0.605,0,1,0,0.925,OFAC,name,0
0.234,0,1,0,0.784,EU,dob,0
0.958,0,1,1,0.516,OFAC,name,0
0.336,0,1,0,0.997,OFAC,dob,1
0.45,0,2,0,0.633,EU,name,0
0.824,1,1,0,0.881,OFAC,name,1
0.311,0,1,0,0.722,EU,address,0
0.528,1,1,0,0.756,EU,dob,0
0.254,0,2,0,0.835,OFAC,name,0
0.663,0,2,0,0.827,OFAC,name,0
0.804,1,1,0,0.649,OFAC,name,1
0.24,0,1,0,0.78,UN,name,0
0.122,1,3,0,0.768,UN,dob,1
0.032,0,1,1,0.732,OFAC,dob,0
0.321,1,1,0,0.67,OFAC,name,1
0.493,0,1,0,0.732,UN,dob,0
0.878,0,1,0,0.995,OFAC,name,1
0.568,0,1,0,0.656,UN,name,1
0.555,0,3,0,0.881,UN,name,1
0.735,0,2,0,0.607,EU,address,0
0.589,0,1,0,0.568,OFAC,dob,1
0.381,0,3,0,1.0,OFAC,name,0
0.325,0,1,0,0.781,OFAC,name,1
0.731,1,1,0,0.785,OFAC,address,1
0.698,0,1,0,0.789,EU,name,0
0.169,0,2,0,0.911,OFAC,name,0
0.555,0,1,0,0.761,UN,address,0
0.36,0,1,0,0.822,OFAC,dob,1
0.799,0,2,1,0.541,OFAC,name,0
0.239,0,2,0,0.848,OFAC,name,0
0.726,1,2,0,0.664,UN,name,1
0.881,1,1,0,0.801,OFAC,name,1
0.377,0,1,0,0.443,OFAC,address,0
0.461,0,1,1,0.795,EU,name,0
0.562,0,1,0,0.364,OFAC,dob,1
0.54,0,3,0,0.659,OFAC,name,1
0.154,0,1,0,0.444,OFAC,name,1
0.374,0,1,0,0.795,OFAC,name,0
0.746,0,2,1,0.71,EU,dob,0
0.473,0,1,0,0.584,OFAC,name,0
0.836,0,1,0,0.915,OFAC,name,1
0.691,1,2,0,0.566,OFAC,name,1
0.396,0,2,0,0.245,UN,name,1
0.339,1,2,0,0.777,OFAC,name,1
0.204,1,1,0,0.435,UN,name,0
0.21,0,1,1,0.57,OFAC,name,0
0.471,0,2,0,0.622,OFAC,name,1
0.441,0,1,0,0.486,UN,name,1
0.449,1,1,1,0.626,OFAC,name,1
0.701,1,2,0,0.489,EU,name,1
0.539,0,1,0,0.724,OFAC,name,1
0.711,0,2,0,0.516,UN,name,1
0.524,1,1,0,0.705,OFAC,dob,1
0.467,0,1,0,0.874,UN,name,0
0.496,1,1,1,0.817,OFAC,name,1
0.365,1,2,0,0.688,OFAC,name,0
0.84,0,1,0,0.552,OFAC,dob,0
0.371,0,1,0,0.724,OFAC,dob,0
0.596,0,2,0,0.596,OFAC,name,1
0.339,0,2,0,0.73,OFAC,name,0
0.828,0,3,0,0.443,OFAC,name,1
0.208,1,1,1,0.821,UN,address,1
0.283,1,1,0,0.705,UN,dob,0
0.678,1,3,0,1.0,UN,name,0
0.545,0,2,0,0.896,OFAC,dob,0
0.367,1,1,0,0.785,OFAC,dob,1
0.645,0,1,0,0.681,OFAC,name,0
0.46,0,2,0,0.591,UN,name,0
0.386,0,1,0,0.841,OFAC,name,0
0.395,0,2,0,0.666,OFAC,name,1
0.758,1,1,0,0.875,UN,dob,1
0.643,0,1,0,0.76,OFAC,name,1
0.624,0,2,0,0.761,EU,dob,0
0.511,0,1,0,0.789,EU,address,0
0.467,0,1,0,0.562,OFAC,name,1
0.323,0,1,0,0.547,OFAC,name,0
0.795,0,1,0,0.541,OFAC,dob,1
0.194,0,2,0,0.857,UN,dob,1
0.14,0,2,0,0.558,OFAC,dob,0
0.633,1,2,0,0.577,UN,name,0
0.402,0,1,0,0.781,OFAC,name,0
0.807,0,1,0,0.662,OFAC,name,0
0.667,0,1,0,0.643,OFAC,address,1
0.469,0,3,0,0.63,UN,name,0
0.676,0,2,1,0.351,OFAC,address,1
0.747,0,2,0,0.555,UN,name,1
0.74,1,1,0,0.877,OFAC,address,1
0.447,0,1,0,0.619,OFAC,name,1
0.163,1,1,1,0.415,EU,name,0
0.029,1,1,0,0.549,EU,name,0
0.764,0,1,0,0.754,OFAC,name,1
0.491,0,3,0,0.751,OFAC,name,1
0.291,0,1,0,0.656,UN,name,1
0.554,1,1,0,0.597,OFAC,name,1
0.579,1,1,0,0.49,OFAC,name,0
0.563,0,3,0,0.755,EU,dob,0
0.375,1,1,0,0.826,OFAC,name,1
0.645,0,2,0,0.893,OFAC,name,1
0.236,1,3,0,0.533,OFAC,dob,1
0.396,1,1,0,0.905,UN,name,0
0.277,0,2,0,0.692,UN,address,0
0.669,0,1,0,0.704,OFAC,name,1
0.314,0,1,0,0.834,OFAC,name,1
0.17,0,2,1,0.619,OFAC,name,0
0.572,1,2,0,0.375,UN,name,1
0.574,0,1,0,0.806,OFAC,name,0
0.216,0,1,0,0.752,EU,name,0
0.701,0,1,0,0.646,OFAC,name,1
0.495,1,1,0,0.793,EU,name,1
0.378,0,1,0,0.824,OFAC,name,1
0.073,0,1,0,0.473,UN,name,0
0.635,0,1,0,0.703,OFAC,name,0
0.554,1,2,0,0.358,OFAC,name,1
0.562,1,1,0,0.681,EU,name,1
0.675,0,1,0,0.644,EU,name,0
0.118,0,1,0,0.774,OFAC,name,0
0.405,0,2,0,0.539,UN,name,0
0.78,0,1,0,0.637,OFAC,name,0
0.233,0,1,0,0.218,EU,name,1
0.5,1,1,0,0.784,OFAC,name,1
0.175,0,2,0,0.687,OFAC,name,0
0.629,1,1,0,0.713,OFAC,name,1
0.493,0,2,0,0.476,OFAC,name,1
0.642,0,3,0,0.76,EU,name,1
0.594,0,2,0,0.948,OFAC,name,0
0.803,0,2,0,0.672,OFAC,dob,1
0.845,0,1,0,0.798,OFAC,dob,0
0.15,0,1,0,0.569,UN,name,1
0.561,0,3,0,0.688,OFAC,name,1
0.817,0,1,0,0.47,OFAC,name,0
0.488,0,1,0,0.818,EU,dob,0
0.892,1,2,0,0.724,OFAC,name,1
0.427,0,1,0,0.517,UN,address,0
0.671,1,1,0,0.58,UN,name,1
0.875,0,1,0,0.709,OFAC,name,1
0.24,1,1,0,0.839,EU,name,1
0.463,0,2,0,0.922,UN,name,1
0.855,1,1,0,0.68,OFAC,name,0
0.671,0,1,0,0.495,OFAC,name,0
0.59,0,1,0,0.736,UN,name,1
0.719,0,2,0,0.968,OFAC,dob,1
0.581,0,2,0,0.457,EU,name,0
0.625,0,1,0,0.557,OFAC,name,1
0.581,0,2,0,0.792,OFAC,name,1
0.396,0,1,0,0.723,OFAC,dob,0
0.53,1,3,0,0.618,OFAC,dob,1
0.9,0,1,0,0.733,OFAC,name,1
0.332,0,2,0,0.847,EU,name,1
0.794,0,1,0,0.685,UN,name,1
0.539,0,1,1,0.672,UN,name,1
0.693,0,1,0,0.788,UN,name,1
0.73,0,2,1,0.659,UN,address,1
0.645,1,1,1,0.871,OFAC,name,0
0.412,1,3,0,1.0,EU,name,1
0.827,1,1,0,0.566,OFAC,name,1
0.704,0,1,0,0.512,EU,dob,1
0.567,1,1,0,0.756,UN,name,1
0.587,0,2,0,0.507,OFAC,name,1
0.352,0,1,1,0.505,OFAC,name,1
0.656,0,2,0,0.393,OFAC,name,0
0.824,0,3,0,0.643,OFAC,dob,0
0.281,0,3,0,0.695,OFAC,name,1
0.301,0,1,0,0.622,OFAC,dob,0
0.652,0,2,0,0.909,OFAC,name,1
0.31,0,2,0,0.897,EU,name,0
0.476,0,1,0,0.989,UN,dob,1
0.482,0,2,0,0.707,EU,name,0
0.325,0,1,0,0.878,UN,name,0
0.748,0,1,0,0.746,OFAC,name,0
0.67,1,1,0,0.731,OFAC,name,1
0.597,0,1,0,0.63,UN,name,1
0.46,0,1,0,0.361,EU,address,1
0.642,0,1,0,0.796,OFAC,address,1
0.091,0,2,0,0.873,EU,name,1
0.231,1,1,0,0.471,EU,name,1
0.535,0,1,0,0.699,UN,name,1
0.49,0,1,0,0.849,EU,name,1
0.625,1,1,0,0.646,OFAC,name,0
0.507,0,2,0,0.879,EU,name,1
0.356,0,1,0,0.679,UN,name,1
0.777,0,2,0,0.621,OFAC,name,1
0.41,0,1,0,0.888,EU,name,1
0.416,0,2,1,0.56,OFAC,name,0
0.899,0,1,0,0.591,OFAC,dob,0
0.174,1,1,0,0.566,OFAC,name,0
0.43,0,2,0,0.529,OFAC,name,1
0.561,0,1,0,0.723,OFAC,name,0
0.41,0,2,0,0.623,UN,name,1
0.342,1,2,0,0.773,OFAC,name,1
0.464,1,1,0,0.44,OFAC,name,1
0.361,0,1,0,0.532,OFAC,address,0
0.735,0,1,1,0.708,OFAC,name,1
0.054,0,3,0,0.92,UN,name,0
0.575,0,2,0,0.757,UN,name,1
0.404,0,1,0,0.612,EU,address,1
0.56,0,1,0,0.477,UN,dob,1
0.63,0,1,0,0.603,OFAC,dob,0
0.26,1,2,0,0.694,EU,name,0
0.557,0,1,0,0.346,UN,address,1
0.15,1,1,0,0.518,OFAC,name,1
0.201,0,2,0,0.589,UN,name,1
0.664,0,1,0,0.661,EU,dob,0
0.43,0,1,0,0.692,UN,address,1
0.806,0,3,0,0.608,OFAC,name,1
0.52,0,2,0,0.776,UN,name,0
0.398,0,1,0,0.719,OFAC,name,0
0.456,0,1,0,0.644,OFAC,name,0
0.403,0,1,0,0.797,OFAC,name,1
0.369,1,1,0,0.784,OFAC,address,1
0.233,0,2,0,0.482,OFAC,name,0
0.652,0,1,0,0.695,OFAC,dob,0
0.607,0,2,0,0.834,UN,dob,0
0.765,1,3,0,0.859,UN,name,1
0.511,0,1,0,0.756,EU,dob,0
0.749,0,1,0,0.665,OFAC,name,0
0.415,0,1,0,0.763,OFAC,name,0
0.459,0,3,0,0.821,EU,name,1
0.796,1,2,0,0.717,OFAC,name,0
0.7,0,1,0,0.734,UN,dob,1
0.693,0,2,0,0.663,UN,address,0
0.204,0,1,0,0.499,OFAC,name,0
0.563,0,3,0,0.674,EU,dob,1
0.737,1,1,0,0.598,UN,name,0
0.64,0,1,0,0.599,OFAC,dob,0
0.687,0,2,0,0.915,OFAC,name,0
0.789,0,1,0,0.843,OFAC,name,1
0.242,0,1,0,0.446,OFAC,name,0
0.396,1,1,0,0.537,OFAC,name,1
0.807,0,1,1,0.645,OFAC,name,1
0.611,0,1,0,0.604,OFAC,address,1
0.087,1,3,0,0.748,EU,name,0
0.121,0,1,0,0.513,OFAC,address,0
0.439,0,1,0,0.844,OFAC,dob,0
0.569,0,2,0,0.693,OFAC,name,1
0.33,1,1,0,0.649,OFAC,name,1
0.459,0,1,0,0.698,OFAC,dob,1
0.29,0,2,0,0.637,OFAC,name,0
0.508,0,2,1,0.395,OFAC,name,1
0.11,0,2,0,0.702,UN,name,1
0.662,0,2,0,0.652,EU,name,0
0.546,0,1,0,0.557,OFAC,address,1
0.621,0,3,0,0.865,OFAC,name,0
0.123,0,1,0,0.8,UN,name,0
0.396,0,2,0,1.0,UN,name,1
0.837,1,1,0,0.825,OFAC,dob,0
0.45,1,3,1,0.603,EU,dob,1
0.712,0,2,0,0.564,OFAC,name,0
0.505,0,2,0,0.626,OFAC,name,1
0.33,0,1,0,0.6,UN,name,0
0.939,0,1,0,0.716,EU,name,0
0.638,1,2,0,0.469,UN,name,1
0.873,0,2,0,0.797,OFAC,address,1
0.269,0,1,0,0.714,OFAC,name,0
0.18,1,3,0,0.78,OFAC,name,0
0.646,0,2,0,0.528,OFAC,dob,1
0.552,0,1,0,0.737,UN,name,1
0.478,0,2,0,0.895,UN,name,0
0.662,0,1,0,0.571,UN,name,1
0.423,0,1,0,0.567,EU,name,0
0.303,1,1,0,0.807,OFAC,address,1
0.258,1,1,0,0.555,EU,name,0
0.536,0,2,0,0.665,UN,name,1
0.277,1,1,0,0.921,OFAC,name,0
0.788,0,2,0,0.569,UN,address,1
0.663,1,2,0,0.932,OFAC,name,0
0.705,0,2,0,0.65,UN,name,1
0.814,1,1,0,0.532,OFAC,address,0
0.61,1,2,0,0.791,OFAC,name,1
0.367,0,1,0,0.716,UN,dob,1
0.222,1,1,0,0.702,UN,name,1
0.515,1,1,0,0.585,OFAC,name,0
0.239,1,1,0,0.715,OFAC,name,0
0.286,0,2,0,0.39,OFAC,name,0
0.218,1,1,0,0.733,OFAC,name,1
0.658,1,2,0,0.895,EU,name,1
0.398,0,1,0,0.435,EU,name,1
0.5,1,1,0,0.639,OFAC,name,0
0.277,0,3,0,0.569,UN,name,1
0.353,0,2,0,0.473,OFAC,address,1
0.672,0,1,0,0.392,UN,name,1
0.163,0,1,0,0.523,OFAC,address,0
0.667,0,1,0,0.664,OFAC,name,1
0.745,0,1,0,0.872,UN,name,0
0.644,1,2,0,0.472,OFAC,name,1
0.307,0,2,0,0.744,UN,dob,1
0.405,0,1,0,0.733,UN,dob,1
0.279,0,3,0,0.951,OFAC,name,0
0.421,0,1,1,0.786,OFAC,address,0
0.568,1,1,0,0.794,EU,name,1
0.609,0,1,0,0.805,UN,name,1
0.587,1,2,0,0.561,OFAC,address,1
0.36,0,1,0,0.614,OFAC,dob,1
0.293,0,1,0,0.868,UN,address,0
0.781,0,1,1,0.392,OFAC,name,1
0.615,0,1,0,0.598,OFAC,name,1
0.765,0,2,0,0.5,OFAC,name,1
0.67,0,1,0,0.735,EU,name,0
0.164,0,1,0,0.637,UN,dob,1
0.765,1,2,0,0.794,EU,name,1
0.453,0,3,0,0.684,UN,name,1
0.833,0,3,1,0.468,EU,name,0
0.379,0,1,0,0.475,OFAC,name,1
0.981,0,1,1,0.699,UN,name,0
0.528,1,1,0,0.584,OFAC,name,1
0.467,0,1,0,0.62,UN,dob,0
0.694,0,3,0,0.841,OFAC,name,0
0.188,1,1,0,0.814,OFAC,dob,0
0.258,0,1,0,0.97,EU,name,1
0.648,0,1,0,0.653,EU,name,1
0.559,0,1,0,0.604,OFAC,name,1
0.216,0,2,0,0.763,UN,dob,1
0.815,1,1,0,0.616,OFAC,name,0
0.598,1,1,1,0.621,OFAC,name,1
0.482,1,1,0,0.67,UN,name,0
0.201,0,1,0,0.948,OFAC,name,0
0.651,0,1,0,0.806,EU,dob,1
0.156,1,2,0,0.821,OFAC,dob,0
0.683,0,1,0,0.941,UN,name,0
0.282,0,2,0,0.835,UN,name,0
0.955,0,3,0,0.53,OFAC,dob,1
0.375,0,3,0,0.833,OFAC,name,1
0.483,0,3,0,0.852,UN,name,0
0.599,1,1,0,0.798,UN,name,1
0.344,1,1,0,0.671,OFAC,name,1
0.78,0,1,0,0.782,OFAC,name,1
0.546,0,2,0,0.697,OFAC,dob,1
0.107,0,3,0,0.553,OFAC,name,1
0.169,1,2,0,0.591,OFAC,name,0
0.805,0,1,1,0.806,OFAC,dob,0
0.43,0,3,0,0.564,UN,name,1
0.476,0,1,0,0.578,UN,name,1
0.425,0,1,0,0.813,EU,name,1
0.334,0,1,0,0.72,UN,name,0
0.478,1,1,0,0.787,EU,address,1
0.42,0,1,0,0.516,OFAC,dob,0
0.933,0,1,1,0.782,UN,name,1
0.45,0,1,0,0.601,EU,dob,1
0.266,0,2,0,0.547,UN,name,0
0.596,1,2,0,0.624,OFAC,address,0
0.558,0,2,0,0.904,UN,name,1
0.224,1,1,0,0.645,EU,name,1
0.683,0,2,0,1.0,UN,name,1
0.398,0,3,0,0.391,OFAC,name,0
0.229,0,1,0,0.468,UN,name,0
0.523,0,1,0,0.899,EU,name,0
0.461,0,1,0,0.936,OFAC,dob,1
0.064,1,1,0,0.57,UN,name,1
0.891,0,2,0,0.71,OFAC,address,1
0.383,0,2,0,0.807,UN,name,0
0.425,1,1,0,0.666,UN,name,1
0.462,1,2,0,0.722,OFAC,address,1
0.634,0,2,0,0.702,OFAC,name,0
0.679,1,3,0,0.478,UN,dob,0
0.575,0,1,0,0.648,OFAC,dob,1
0.064,0,3,0,0.702,OFAC,name,0
0.196,1,1,1,0.715,UN,name,0
0.635,0,1,0,0.44,OFAC,name,1
0.479,0,1,0,0.813,OFAC,name,0
0.491,0,1,0,0.719,EU,name,1
0.609,1,2,1,0.542,OFAC,dob,1
0.587,1,1,0,0.97,OFAC,name,1
0.696,0,1,1,0.648,UN,name,1
0.486,0,1,1,0.658,UN,name,1
0.465,0,2,0,0.796,EU,address,1
0.453,0,1,0,0.983,EU,name,0
0.568,0,2,1,0.802,UN,name,1
0.703,1,1,0,0.824,OFAC,name,0
0.511,0,1,0,0.55,OFAC,address,1
0.854,0,1,0,0.713,OFAC,address,1
0.423,0,1,0,0.62,OFAC,name,0
0.905,0,1,0,0.806,UN,dob,0
0.224,1,1,0,0.82,UN,name,0
0.352,0,3,0,0.945,OFAC,address,1
0.113,0,2,0,0.376,UN,name,1
0.202,0,1,0,0.605,OFAC,name,1
0.638,0,1,0,0.895,OFAC,name,1
0.495,0,2,0,0.49,UN,name,1
0.671,0,1,0,0.821,OFAC,dob,1
0.436,0,1,0,0.87,OFAC,name,0
0.186,0,2,0,0.696,OFAC,address,0
0.405,0,2,1,0.487,OFAC,name,1
0.792,0,1,0,0.682,UN,name,0
0.362,1,1,0,0.919,EU,name,0
0.513,0,1,1,0.931,OFAC,name,1
0.591,0,2,1,0.731,OFAC,dob,1
0.053,0,1,0,0.553,UN,name,0
0.459,0,1,0,0.961,EU,name,0
0.48,1,1,0,0.823,OFAC,name,0
0.409,0,1,0,0.563,OFAC,name,0
0.394,0,3,0,0.751,UN,address,1
0.663,0,2,0,0.745,UN,name,1
0.209,0,2,0,0.604,OFAC,dob,1
0.816,1,1,0,0.752,UN,name,0
0.81,0,1,0,0.866,OFAC,name,0
0.745,0,1,1,0.656,OFAC,address,0
0.103,0,1,0,0.881,OFAC,name,1
0.332,0,3,1,0.437,EU,name,1
0.717,0,1,1,1.0,OFAC,name,0
0.67,1,1,0,0.709,OFAC,name,0
0.711,0,1,0,0.861,OFAC,dob,1
0.406,1,2,0,0.733,EU,name,1
0.5,0,1,0,0.576,OFAC,address,0
0.513,0,1,0,0.695,OFAC,name,0
0.283,0,1,0,0.414,OFAC,name,0
0.521,1,2,1,0.803,UN,name,1
0.487,0,1,0,0.729,OFAC,name,0
0.294,0,3,0,0.671,OFAC,address,0
0.829,0,2,0,0.813,OFAC,name,1
0.461,0,1,0,0.706,EU,name,1
0.341,0,2,1,0.791,OFAC,dob,1
0.612,1,1,0,0.844,UN,dob,1
0.399,1,3,0,0.618,EU,name,1
0.616,0,1,0,0.575,EU,dob,0
0.677,1,1,0,0.442,OFAC,name,1
0.707,0,1,0,0.718,EU,name,0
0.572,0,1,0,0.768,OFAC,name,1
0.905,0,3,0,0.501,OFAC,name,1
0.915,0,1,1,0.913,EU,name,1
0.535,1,2,1,0.577,OFAC,name,1
0.883,0,1,0,0.384,OFAC,name,0
0.549,0,3,0,0.924,OFAC,dob,1
0.294,0,1,0,0.404,UN,address,0
0.244,0,1,0,0.845,OFAC,dob,1
0.668,0,1,0,0.808,UN,name,1
0.645,1,2,0,0.748,EU,name,0
0.763,1,1,0,0.622,UN,name,1
0.695,1,1,0,0.775,OFAC,name,1
0.25,0,1,0,0.857,EU,name,1
0.326,0,2,0,0.552,OFAC,name,0
0.6,0,1,0,0.846,OFAC,dob,1
0.946,0,1,0,0.84,OFAC,name,1
0.944,0,1,1,0.744,OFAC,name,1
